name,method,model_dir,forget_split,retain_split,seed,base_model,tofu_forget05_answer_prob,tofu_retain95_answer_prob,tofu-perturbed_real_authors_perturbed_normalized_answer_prob,tofu-perturbed_world_facts_perturbed_normalized_answer_prob,tofu-perturbed_forget05_perturbed_truth_ratio,tofu-perturbed_retain_perturbed_truth_ratio,tofu-perturbed_real_authors_perturbed_truth_ratio,tofu-perturbed_world_facts_perturbed_truth_ratio,tofu_forget05_rougeL_recall,tofu_retain95_rougeL_recall,tofu_real_authors_rougeL_recall,tofu_world_facts_rougeL_recall,forget_answer_prob,retain_answer_prob,forget_truth_ratio,retain_truth_ratio,real_authors_truth_ratio,world_facts_truth_ratio,real_authors_normalized_answer_prob,world_facts_normalized_answer_prob,forget_rougeL_recall,retain_rougeL_recall
freq_only_zero_3b_instruct_forget05,freq_only_zero_3b_instruct_forget05,outputs/unlearned_model_zero_3b_instruct_forget05,forget05,retain95,42,False,0.2396285304873281,0.9976203170210034,0.2645257432510725,0.1975869541726635,0.2762338687851944,0.7573333150956691,0.3464882201457491,0.3441070918258036,0.4718345826159206,0.9988222814365668,0.0078333333333333,0.028062678062678,0.2396285304873281,0.9976203170210034,0.2762338687851944,0.7573333150956691,0.3464882201457491,0.3441070918258036,0.2645257432510725,0.1975869541726635,0.4718345826159206,0.9988222814365668
freq_only_zero_3b_instruct_forget05,freq_only_zero_3b_instruct_forget05,outputs/unlearned_model_zero_3b_instruct_forget05,forget05,retain95,42,False,0.2415314446575723,0.997709264965414,0.2656624595156319,0.1987482360954139,0.2763234490498578,0.7572429765320285,0.3488481720810494,0.3494782070646883,0.4953292096044825,0.9988222814365668,0.0025,0.0252136752136752,0.2415314446575723,0.997709264965414,0.2763234490498578,0.7572429765320285,0.3488481720810494,0.3494782070646883,0.2656624595156319,0.1987482360954139,0.4953292096044825,0.9988222814365668
freq_only_noise_3b_instruct_forget05,freq_only_noise_3b_instruct_forget05,outputs/unlearned_model_noise_3b_instruct_forget05,forget05,retain95,42,False,0.2402637605590769,0.9976335270011236,0.2332377219022214,0.2080971191641206,0.2657963977026831,0.7550915896273217,0.3529441484435148,0.3088045910583994,0.4767577690354005,0.9985286263465772,0.0053333333333333,0.0309116809116809,0.2402637605590769,0.9976335270011236,0.2657963977026831,0.7550915896273217,0.3529441484435148,0.3088045910583994,0.2332377219022214,0.2080971191641206,0.4767577690354005,0.9985286263465772
original_3b_instruct_full_eval,original_3b_instruct_full_eval,outputs/finetuned_model_3B_instruct,forget05,retain95,42,False,0.9982972737356138,0.9980025435264568,0.2329803775481807,0.20834131316272,0.2282368555525305,0.7550982678183984,0.3525053252475573,0.3087269199423165,0.9998181818181818,0.9986039107113353,0.0053333333333333,0.0309116809116809,0.9982972737356138,0.9980025435264568,0.2282368555525305,0.7550982678183984,0.3525053252475573,0.3087269199423165,0.2329803775481807,0.20834131316272,0.9998181818181818,0.9986039107113353
llm_record_bank_static_zero_3b_instruct_forget05,llm_record_bank_static_zero_3b_instruct_forget05,outputs/unlearned_model_zero,forget05,retain95,42,False,1.2918510879247856e-05,0.0083945923006447,0.2258658902602153,0.1864596193429513,0.6042888333230982,0.533890246606024,0.337060690571782,0.3074636781385793,0.1393663169855105,0.2634038939552789,0.002,0.0287749287749287,1.2918510879247856e-05,0.0083945923006447,0.6042888333230982,0.533890246606024,0.337060690571782,0.3074636781385793,0.2258658902602153,0.1864596193429513,0.1393663169855105,0.2634038939552789
llm_record_bank_retain_tfidf_zero_3b_instruct_forget05,llm_record_bank_retain_tfidf_zero_3b_instruct_forget05,outputs/unlearned_model_zero,forget05,retain95,42,False,0.1001541780396082,0.989933880046978,0.2234604788184244,0.2075148712341776,0.3330927922944713,0.7511612622659267,0.3682827166741709,0.3129820033624334,0.3618730197899518,0.9947651492524808,0.0053333333333333,0.028062678062678,0.1001541780396082,0.989933880046978,0.3330927922944713,0.7511612622659267,0.3682827166741709,0.3129820033624334,0.2234604788184244,0.2075148712341776,0.3618730197899518,0.9947651492524808
llm_record_bank_static_zero_3b_instruct_forget05,llm_record_bank_static_zero_3b_instruct_forget05,outputs/unlearned_model_zero,forget05,retain95,42,False,2.7136235593597613e-06,0.0030026958468525,0.2228744015732481,0.1929199628230271,0.6079070705994575,0.5387000203993374,0.3392676662920235,0.3143598536401895,0.1368177223183065,0.2469717467248586,0.0086666666666666,0.0334757834757834,2.7136235593597613e-06,0.0030026958468525,0.6079070705994575,0.5387000203993374,0.3392676662920235,0.3143598536401895,0.2228744015732481,0.1929199628230271,0.1368177223183065,0.2469717467248586
hybrid_json_freq_mean_forget05,hybrid_json_freq_mean_forget05,outputs/unlearned_model_mean,forget05,retain95,42,False,0.0641483436814498,0.9899811050567172,0.2383173572685844,0.2187425277979501,0.3348589908102019,0.7531539654757341,0.3743509375441393,0.3231881431642515,0.4067355200385734,0.996850296791454,0.0053333333333333,0.028062678062678,0.0641483436814498,0.9899811050567172,0.3348589908102019,0.7531539654757341,0.3743509375441393,0.3231881431642515,0.2383173572685844,0.2187425277979501,0.4067355200385734,0.996850296791454
hybrid_json_freq_mean_forget05_aggressive800,hybrid_json_freq_mean_forget05_aggressive800,outputs/unlearned_model_mean,forget05,retain95,42,False,0.0130406065426811,0.8636440325889905,0.2235770543504648,0.207300457676772,0.3761990537324056,0.7390905414751126,0.3675439626808536,0.3015377512069385,0.338394864174553,0.963534662848955,0.0053333333333333,0.0309116809116809,0.0130406065426811,0.8636440325889905,0.3761990537324056,0.7390905414751126,0.3675439626808536,0.3015377512069385,0.2235770543504648,0.207300457676772,0.338394864174553,0.963534662848955
hybrid_json_freq_zero_forget05_aggressive800,hybrid_json_freq_zero_forget05_aggressive800,outputs/unlearned_model_zero,forget05,retain95,42,False,0.0278960740817095,0.8827469645523337,0.2349213454433405,0.208477661914865,0.3729180141246668,0.7410013640271146,0.3637507780586431,0.3102112614772751,0.3019102237118788,0.9638339446540884,0.0053333333333333,0.0309116809116809,0.0278960740817095,0.8827469645523337,0.3729180141246668,0.7410013640271146,0.3637507780586431,0.3102112614772751,0.2349213454433405,0.208477661914865,0.3019102237118788,0.9638339446540884
json_tfidf_zero_forget05_safe500,json_tfidf_zero_forget05_safe500,outputs/unlearned_model_zero,forget05,retain95,42,False,0.1013251798232463,0.991447422560471,0.2327110863780431,0.2120483141962079,0.3308924964264513,0.753487049838562,0.3618100375990593,0.3228052070104061,0.3717863953590274,0.996899458156405,0.0053333333333333,0.028062678062678,0.1013251798232463,0.991447422560471,0.3308924964264513,0.753487049838562,0.3618100375990593,0.3228052070104061,0.2327110863780431,0.2120483141962079,0.3717863953590274,0.996899458156405
embed_ga_gd_json_tfidf_1000_aggressive_forget05,embed_ga_gd_json_tfidf_1000_aggressive_forget05,outputs/unlearned_model_embed_ga_gd_json_tfidf_1000_aggressive,forget05,retain95,42,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0
